"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","9","testcases","Login_related_test","TestSendR","","","test_query_message[caseinfo0]",""
"passed","Thu Dec 02 19:33:38 CST 2021","Thu Dec 02 19:33:38 CST 2021","0","testcases","api_test","TestApi","","","test_api[a]",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","0","testcases","Contract_related_test","Test_Contract","","","test_batch_upload_files",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","12","testcases","Contract_related_test","Test_Contract","","","test_contract_statistics",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","27","testcases","Contract_related_test","Test_Contract","","","test_supplier_purchaser",""
"passed","Thu Dec 02 19:33:38 CST 2021","Thu Dec 02 19:33:38 CST 2021","0","testcases","api_test","TestApi","","","test_api[c]",""
"passed","Thu Dec 02 20:41:42 CST 2021","Thu Dec 02 20:41:42 CST 2021","1","testcases","api_test","TestApi","","","test_api[c-40]",""
"passed","Thu Dec 02 19:27:58 CST 2021","Thu Dec 02 19:27:58 CST 2021","12","testcases","Login_related_test","TestSendR","","","test_query_message",""
"passed","Thu Dec 02 20:41:42 CST 2021","Thu Dec 02 20:41:42 CST 2021","26","testcases","Login_related_test","TestSendR","","","test_query_message[method:get url:http://172.16.11.40:8082/app/newMessage]",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","8","testcases","Contract_related_test","Test_Contract","","","test_file_upload",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","10","testcases","Contract_related_test","Test_Contract","","","test_add_contract",""
"passed","Thu Dec 02 20:41:42 CST 2021","Thu Dec 02 20:41:42 CST 2021","0","testcases","api_test","TestApi","","","test_api[a-10]",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","13","testcases","Contract_related_test","Test_Contract","","","test_paging_query",""
"passed","Thu Dec 02 20:41:42 CST 2021","Thu Dec 02 20:41:42 CST 2021","0","testcases","api_test","TestApi","","","test_api[b-12]",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","9","testcases","Login_related_test","TestSendR","","","test_read_message",""
"passed","Fri Dec 03 17:12:46 CST 2021","Fri Dec 03 17:12:46 CST 2021","11","testcases","Contract_related_test","Test_Contract","","","test_contract_details",""
"passed","Thu Dec 02 19:33:38 CST 2021","Thu Dec 02 19:33:38 CST 2021","0","testcases","api_test","TestApi","","","test_api[b]",""
